Genes	log2FoldChange	pvalue
WDR45B	-0.028763042	0.911310132
RO60	0.031634892	0.911471781
AUP1	0.030955624	0.911534488
LPAR5	-0.158501747	0.911698743
GTPBP8	0.042902133	0.912021567
SF3A1	-0.048350564	0.912095566
SLC26A1	-0.141636524	0.912418512
CD300LF	0.153625318	0.912686333
MTO1	-0.03429689	0.912599227
LOC112580481	-0.109836779	0.912653653
PRR30	0.195800193	0.912825298
RPL7L1	-0.03627881	0.912910273
PLA1A	0.143003784	0.913117502
LOC102410671	-0.145524976	0.913225529
GPRIN1	0.103310028	0.913248233
TRNAE-UUC_106	0.289027682	0.913060526
LOC112577747	-0.15741783	0.913157002
MALT1	-0.040325891	0.913063624
DTWD2	-0.066455057	0.9133701
TP53	-0.031980664	0.91378354
ALMS1	-0.045934106	0.913813368
ZNF81	0.037328683	0.913780868
LSG1	0.03970699	0.914422447
LOC102394760	-0.076436776	0.914468503
NKIRAS1	-0.081262935	0.914618217
MSL3	0.040387955	0.914706348
FNBP4	0.050644443	0.914977268
LOC123465876	0.095200101	0.915111573
CHD1	0.036719156	0.91509324
LOC123332616	0.246434564	0.915498232
LOC112577791	-0.078536873	0.915568463
LOC123465873	-0.242023464	0.915577603
SAMD13	-0.242023464	0.915577603
LRGUK	-0.242023464	0.915577603
C3H17orf113	-0.152167281	0.91603672
LOC123332748	-0.219997432	0.915818842
ASCL4	-0.152167281	0.91603672
MCOLN2	0.09235668	0.916114306
LOC112586451	0.111556226	0.916147563
TTC1	0.033375082	0.916083864
LOC123328011	0.084825694	0.916017604
LOC123464950	0.287450121	0.915749522
LIN7C	-0.033063765	0.916146418
CXXC1	0.035790502	0.91602
SRRM2	0.047196721	0.91604627
LOC123464945	0.177684546	0.916418155
TRNAW-CCA_35	0.208047799	0.916729549
PTPN21	-0.032420743	0.916962499
COL9A3	-0.122704794	0.916940145
LOC123465537	-0.107954078	0.91710691
PPP2R5D	-0.047666849	0.917710682
SNRPC	-0.047004557	0.91764844
BAK1	-0.037322058	0.917178472
LOC123333185	-0.072395976	0.917443356
ROBO3	0.186610496	0.917317172
SF3B4	0.038229475	0.917239223
LOC112585754	-0.082918203	0.91764647
E2F5	0.038394706	0.917512761
SETD7	-0.049575614	0.917177998
CEP72	0.066405032	0.917313528
CACNA1D	-0.089033369	0.917698594
LSM3	-0.057239138	0.917579265
FAM120C	-0.038085499	0.917737353
ZNF280C	0.042060551	0.917687479
LOC123333824	0.270038589	0.91801369
TAF8	-0.038427284	0.918216937
LOC123334120	-0.151452006	0.918226301
SPAM1	0.117350768	0.918145755
TUBE1	0.054592002	0.918228665
LOC102400961	-0.066443179	0.918416945
SKOR1	0.247951037	0.918648389
MBD5	0.049745506	0.918743739
CHRM2	0.139776963	0.918776397
CABYR	0.078012303	0.919015688
MITD1	-0.049903651	0.919083357
PARD3B	-0.037212851	0.919263771
FFAR4	-0.223688527	0.919283097
USH1C	0.12566838	0.919339395
ZNF329	-0.058590237	0.91941287
GALNT7	-0.046056935	0.919649764
PPP1R8	0.032739045	0.920140615
ITGA2B	-0.077904555	0.919976238
LOC112584718	-0.156400614	0.920059788
EBNA1BP2	-0.035290542	0.919869349
YTHDF1	0.038243653	0.920080019
LOC102415617	-0.092235788	0.919946453
CEP20	-0.052563366	0.920146433
GTF2F1	-0.032540107	0.920223908
CNOT7	0.030914296	0.92044832
LOC102397357	-0.109958749	0.920435219
CCL1	-0.247250031	0.920552711
ESRRG	0.060972898	0.920571536
POLR2C	0.032845128	0.920825557
ZNF189	-0.031605156	0.921019369
LOC112582250	0.21166564	0.921118119
GPR87	-0.11385653	0.92127043
TOMM20L	0.093619793	0.921262307
JAG2	0.056224229	0.921244632
FAM171A2	0.093832554	0.921591275
HAL	0.112666764	0.921521065
ZNF135	-0.071070327	0.921608359
LOC102402141	-0.216184998	0.92172525
OMD	-0.11883538	0.921955756
LOC102399928	-0.14913017	0.921957148
LOC123329253	-0.211699737	0.921926915
LOC123330827	-0.261620103	0.921822264
LOC123327491	0.232179703	0.921981182
FSCN2	-0.160517642	0.922150185
LOC102409985	-0.160517642	0.922150185
LRP3	-0.070963103	0.922363949
NEK5	-0.133524179	0.922550904
MOK	-0.109149942	0.922543663
LOC102406289	0.092492638	0.922619904
SLC39A8	-0.128906925	0.92278473
LOC112581825	-0.043428794	0.92279052
DHODH	0.045673765	0.922857981
MARK4	0.044685105	0.923169354
ICAM5	-0.135191084	0.923401697
LOC123328456	0.167983621	0.923493026
FBXO22	-0.039567808	0.923468365
CLN3	0.031960345	0.923463155
RBBP8NL	0.041711287	0.923570513
SLC25A6	0.032685931	0.92392318
MEGF9	0.062114595	0.924149926
IFT27	0.064588343	0.924796074
KAT6B	0.036586318	0.924765347
BOLA1	-0.048643985	0.924764903
MAP3K20	0.033557781	0.924876166
LOC123329460	0.120238837	0.924896537
TFIP11	0.036667083	0.924986541
DDX28	-0.04881813	0.925141257
PIP4K2B	-0.033103577	0.925591042
LOC102401464	0.100032272	0.925524418
F10	-0.086129388	0.925586363
TNFSF10	-0.077628472	0.925962138
LOC123327678	0.209930268	0.92589673
LDB1	-0.027441679	0.925964867
SNX21	0.052476293	0.926254594
KLHL11	-0.02626094	0.92632702
UPK3A	-0.218114749	0.92648041
PANK4	-0.034146255	0.926615271
RILPL1	0.032433761	0.926606718
LOC123331588	-0.155137035	0.926575859
GPATCH2	-0.034217017	0.926762979
SWSAP1	0.060889292	0.92700112
LOC102396002	-0.046511977	0.927147154
LOC112581046	-0.201236417	0.927125705
NCKIPSD	0.043787146	0.927004773
LOC102411945	-0.201236417	0.927125705
LOC102402041	-0.084850077	0.927305571
MRPS31	-0.032771685	0.927422949
ZNF784	-0.074018347	0.927381953
TSSC4	-0.043217192	0.927503738
MYADM	0.028652903	0.927737
LOC112580494	-0.151280614	0.927985244
SCN2A	-0.230602698	0.928117193
SERPINB1	0.052964649	0.928176021
TAF1B	0.03467012	0.928556349
SURF6	-0.038784173	0.928672207
LOC112586700	-0.164623686	0.928732029
LOC102415885	0.135260496	0.928792092
FGF12	-0.093987518	0.929128175
IGSF11	-0.137468449	0.929348797
TMEM65	0.031988212	0.929312052
LOC102412090	-0.038953184	0.929262103
LOC112585856	0.141417758	0.929515915
TMEM231	-0.055320167	0.92950367
SRSF11	0.037506275	0.929793378
UBE2Z	-0.021927372	0.930046889
TEF	-0.040697794	0.930029908
KCTD3	0.028258243	0.929997041
EXOC3L2	0.056441219	0.929962118
NOX4	-0.07409388	0.930132076
SLC17A9	0.052997811	0.930371566
RALY	-0.024699172	0.930423572
JPT2	-0.035417264	0.930614683
CHST12	0.047182378	0.930771189
VGF	-0.070250382	0.93080329
LOC123465808	0.194215425	0.930897083
LOC102399157	-0.043515959	0.930952172
ATG7	0.039984904	0.931008018
LOC123327513	0.030011525	0.931241351
ZNF24	-0.023191567	0.93132477
PSMA5	0.034920969	0.931375341
LOC102414937	0.045092713	0.931442482
LOC123334792	-0.098341233	0.931694934
LOC123334997	-0.150890376	0.931547547
LOC123466190	-0.145120846	0.931656973
LOC102406285	-0.081082553	0.93162221
MTMR12	-0.030683321	0.931726782
ATL2	-0.026119353	0.931788926
SFT2D2	0.026054207	0.931986478
CCDC184	0.0739555	0.932506052
DNTTIP2	0.024586349	0.932486159
NR2F1	-0.061749861	0.932737264
LOC112584117	-0.069894242	0.932850872
C17H12orf76	0.05466349	0.932889537
LOC123330289	0.078606063	0.932795644
LOC123329789	0.127247833	0.933051336
RPRD1B	0.026018321	0.933114641
LOC123333400	0.230013838	0.933226048
NPR1	-0.09044665	0.933467184
VAPB	-0.02624892	0.933351963
ACCS	0.054955273	0.933456377
LOC123330650	0.230013838	0.933226048
MYO5B	-0.026175725	0.933305338
BCKDK	0.03037293	0.933461428
LOC123330839	-0.175367071	0.933832335
TTLL4	-0.029791931	0.93414712
LETMD1	-0.029835063	0.934126786
ACVR1B	-0.036544618	0.93409914
LRRC61	0.079389559	0.934350372
LOC123466153	0.062584241	0.93438341
COG2	-0.026339407	0.934487337
DDX56	0.030681712	0.934693147
CERKL	-0.194672165	0.934744909
LOC112586985	-0.15893364	0.934840824
KRT40	0.183536368	0.935147781
HOXB3	0.069332219	0.935570235
PNMA2	-0.092427116	0.935357068
CACNA2D4	0.117879318	0.935454438
LOC102393170	0.183536368	0.935147781
POLR2B	0.021814854	0.93531119
LOC112586284	-0.15636353	0.935553636
LOC102407703	-0.116517215	0.935515234
LOC102406811	0.035215608	0.935027337
LOC112579750	0.104188616	0.935369001
LOC102412878	0.031357719	0.935466438
IER3IP1	-0.03223525	0.935264208
LOC112582227	-0.15636353	0.935553636
C14H20orf204	0.104490091	0.935747622
LOC123334631	0.118719766	0.935951233
OSBPL6	-0.042235269	0.936021073
LOC102398431	0.045307763	0.936142292
SCIN	-0.050902144	0.936295125
BBS12	-0.046869812	0.936277297
SNRPE	-0.03805035	0.936346623
OGA	-0.030628349	0.936841858
LOC102410983	-0.113795676	0.936949346
MRC2	-0.047583398	0.937175673
LOC123465573	-0.066530689	0.93716173
TRAM1L1	-0.119514042	0.937182295
BRSK1	0.043059087	0.937095445
LOC102395728	0.042323707	0.937315312
LOC102392042	0.072143386	0.937533118
PCGF1	0.036332805	0.937515383
RHBDD3	-0.03508505	0.937459222
DLG1	-0.024563997	0.937931121
LMAN2	-0.02260192	0.937866419
ZNF524	0.041137541	0.937950389
LOC112585878	0.121067861	0.938022497
L3HYPDH	-0.047702576	0.938194928
LOC102403233	-0.047620198	0.938317128
GPR18	0.130771613	0.938839506
LOC102415948	0.059506019	0.938795334
MBLAC1	-0.036435241	0.938805127
LOC123465476	0.161771356	0.938899931
NRG1	0.045862443	0.939399281
FAAP100	0.049788584	0.939353757
LOC123332454	0.102766019	0.939194367
LOC123332647	-0.083254461	0.939297149
RAD51D	0.033469002	0.939457822
UBA2	-0.020717008	0.939136172
PSMD8	0.023898362	0.939415796
PPP5C	0.030373703	0.939474578
LOC123465559	-0.030789348	0.939763668
GASK1B	0.056241961	0.939852107
PTS	-0.030548485	0.939929098
SUCLA2	0.021896466	0.940119756
LOC123332976	0.174000138	0.940454096
NDUFS2	0.021481024	0.940425874
ZNF76	-0.03198758	0.940519886
NEURL4	-0.028616038	0.940683934
KCND3	-0.179810747	0.940868832
PTGR2	0.025191738	0.940996951
TPRKB	-0.046352686	0.941133706
PLEK2	-0.052278171	0.941453317
PPP2R5E	-0.022217132	0.941378136
LOC123330296	-0.051522651	0.941444486
SRPK3	0.096715171	0.94149221
ETV4	-0.067434442	0.942109966
TMEM88	-0.04976572	0.942059537
KIF26B	0.055882531	0.942052967
MAU2	0.026511043	0.942037606
THADA	-0.022052976	0.941886684
TRDMT1	-0.027119233	0.94204101
LOC102398781	-0.073895409	0.941833177
SNRPF	0.037160125	0.942317167
VASN	0.036932112	0.942446862
LOC112587551	-0.073262169	0.942661602
BLZF1	-0.021122504	0.942815202
LOC102409014	0.0955781	0.943151422
LOC102406397	0.146073327	0.943113045
TAFA4	-0.09893385	0.943329154
CNNM2	-0.033491827	0.943352314
USO1	-0.019275384	0.943489144
CCNB1IP1	0.043063123	0.943615357
KDSR	-0.021534715	0.9436074
FAM98B	0.021193007	0.943773913
LOC102392263	-0.028439864	0.943853395
HNRNPL	0.018221862	0.944070191
LOC123466145	0.147275839	0.944350982
C3H9orf40	-0.038514531	0.944448552
LOC112584737	-0.064186957	0.944520837
DNAH3	0.105832332	0.94454354
LOC102410605	0.057006504	0.944717134
GREB1	0.089229217	0.944853811
LOC123465995	-0.051367613	0.944988148
LOC123333205	-0.12934247	0.945172399
INO80E	0.025899685	0.945299598
LOC123330262	-0.130790578	0.945418355
TENM2	-0.092699749	0.945782146
TRNAC-ACA_55	-0.143087168	0.946003237
LOC112587441	-0.125727267	0.946282344
LUZP1	-0.028219649	0.946189765
LOC112584072	-0.125727267	0.946282344
TIMM22	-0.029844905	0.946624056
TXNDC16	0.02615483	0.946693713
CRH	0.132991856	0.947549923
VRK3	-0.024557608	0.94770605
METTL24	0.074168576	0.947760769
NCEH1	-0.03055088	0.947854378
NINJ2	-0.074614052	0.947927423
LOC102410357	-0.143610688	0.947988094
LOC102395986	-0.089372155	0.94800708
LOC112587773	0.077316697	0.94819517
SLC22A17	-0.045290908	0.948168912
NTF3	0.105081527	0.948329605
DISP2	0.124081559	0.948306352
EMC4	0.024293524	0.948618835
LOC123330745	0.10979308	0.948836165
LOC102396784	-0.041002153	0.948918898
CDK5RAP2	0.028055803	0.948984084
LOC123464940	-0.115697697	0.948979613
SH2B2	0.041859089	0.948983893
LOC112578105	-0.051332489	0.949040007
RUNDC3A	0.076631247	0.949194599
LOC123328065	-0.105564618	0.949195299
NLRC5	0.043638196	0.949460491
SYT14	-0.072803125	0.949796188
LOC123328653	-0.08016952	0.949922741
TNFRSF18	0.07785074	0.950261761
RDH11	0.025537438	0.950222428
LOC112582311	-0.049385155	0.950236462
IQCB1	0.026963946	0.950420162
TULP2	-0.051550546	0.95047133
REXO4	-0.029149794	0.950632038
LOC123328846	0.12122886	0.950694287
ZNF205	0.029753496	0.950647205
HEPACAM	0.100671047	0.950819587
SH3BP5L	0.022640704	0.950814084
LOC123329819	-0.093057809	0.950874651
PRG4	-0.08503462	0.951001924
EHHADH	-0.039530828	0.951155597
ABCE1	-0.016163023	0.951748409
LOC102401135	0.053126635	0.952017022
LOC102411280	-0.083160614	0.952012769
DHRS12	-0.024745638	0.95211493
LOC123328426	0.077392446	0.952303037
LOC123465490	-0.171969991	0.952406276
PARL	0.027107667	0.952676604
PDGFRA	-0.030763999	0.952747068
STARD8	-0.042090905	0.95269665
TKTL1	-0.10953214	0.952739849
LOC102393839	-0.021702107	0.953225739
LOC102412291	-0.077047135	0.953433457
LOC112583135	-0.090150097	0.953555246
TMEM265	-0.034426761	0.953526027
HPCAL1	-0.025816949	0.953763925
ADGRB2	-0.055131624	0.953830617
TRMT1L	-0.018541074	0.954059465
SLC9A3R2	0.03521131	0.95421129
DHX36	0.014489962	0.954350811
NBDY	-0.028509311	0.954388017
LOC123335107	-0.158623552	0.95460651
LOC112578102	-0.041787014	0.954565682
MID1IP1	-0.022486997	0.954618532
NOL12	0.021793408	0.95480563
SDR42E1	-0.019621244	0.955016739
LOC102399426	-0.066742977	0.955064333
COG6	-0.020569613	0.955394797
LOC123333588	-0.127115317	0.955764955
SLC25A3	0.017309854	0.95577321
LOC102395216	-0.127115317	0.955764955
LOC112580017	-0.127115317	0.955764955
LOC112581234	-0.127115317	0.955764955
LOC102409906	-0.127115317	0.955764955
SMPX	-0.127115317	0.955764955
LOC123333242	0.087039768	0.955945334
LOC102392405	-0.026016415	0.955937676
CHUK	0.021982184	0.955978376
LOC102399668	0.029583376	0.956562668
HARS1	-0.016081801	0.956632523
LOC112580285	0.036316577	0.956688885
LINS1	-0.02118793	0.956860002
LOC112583751	0.050104344	0.957055629
INSC	0.104898926	0.957169212
RNASEH1	-0.0191565	0.957270028
LOC112583695	-0.052574703	0.957434095
LOC112580476	-0.065541764	0.957468467
CHD5	0.034213133	0.958074066
FADD	0.031322779	0.957971263
MUC6	0.085439067	0.958060637
LOC102389244	-0.070600139	0.958040709
LOC102392353	0.022275759	0.958232244
LOC102397863	0.057381549	0.958327413
LOC112581772	-0.047640795	0.958766081
HMG20B	0.017802105	0.958988262
LOC112580379	-0.073216328	0.959074692
GFI1	-0.070690784	0.95917346
KLHL40	-0.052643972	0.95924222
METTL3	0.019347639	0.959695886
LOC112579384	-0.055815899	0.959923083
SOX7	-0.056403445	0.960291844
PCOLCE2	0.022754995	0.960652118
MRPL2	0.018107882	0.960636848
RAB37	-0.082835193	0.960626051
LOC123328552	0.085672259	0.960459796
LOC102390067	-0.082835193	0.960626051
RSU1	-0.015460327	0.960884025
LOC102396987	0.083346342	0.961129467
LOC112584814	-0.05700565	0.961159859
CAVIN4	-0.098018345	0.961267044
SUGP1	0.013377988	0.961546286
UBAP1L	0.086343311	0.961648516
LOC102400817	0.086343311	0.961648516
SCAF4	-0.011898174	0.961725708
LOC102408483	0.07682476	0.961807221
LOC102404138	0.039307918	0.962179191
TRAPPC12	-0.018514326	0.962254262
SHE	0.035343218	0.962519995
LOC123466175	-0.037548664	0.962471928
EIF5	-0.015146594	0.962451148
PCBP4	0.01815615	0.962394557
LOC102405958	0.054861803	0.963169418
LOC102410920	-0.031637617	0.963149891
LOC123330845	-0.093299009	0.963352601
LOC123329779	0.062151986	0.963323952
LOC123329828	0.086949988	0.963591024
LOC123465590	0.102895357	0.963728175
NUDT15	0.012213503	0.964033274
COLQ	-0.038604324	0.964655734
KCTD18	-0.01797861	0.964636831
KCNH1	-0.07267155	0.964564798
VIRMA	-0.011547241	0.964641575
LOC112581378	0.077495079	0.964532118
OTUD5	0.013917126	0.96449084
FAM167B	-0.100679534	0.964997923
LOC112583857	-0.023851012	0.965104256
C6H1orf146	-0.086475282	0.965082865
UFSP2	-0.015047497	0.965194817
RIC1	0.013186309	0.965270583
SLC38A8	-0.065666464	0.965483555
LOC112582402	-0.075148748	0.965453885
SEL1L3	-0.038105332	0.965799861
LOC102396873	0.066211119	0.965975946
LOC102410356	-0.016149459	0.965940652
ADPRM	0.019524816	0.965886367
SLX9	0.019190949	0.966261114
C7H4orf48	-0.017991965	0.96619989
LOC123464881	-0.090685371	0.966226514
C19H5orf22	0.014096215	0.966200615
SMG9	-0.015389374	0.966349475
GPC1	-0.020652014	0.966528523
COPS4	-0.015834648	0.966504467
LOC112581898	-0.031630117	0.966721931
LOC102401897	-0.076200909	0.966915125
ZBED3	-0.064916885	0.967020075
ACOX1	0.011934189	0.967163446
ARL6IP4	-0.019653072	0.967169916
PODXL2	0.024942286	0.967306
LOC102405213	0.019464956	0.967543938
LOC112581246	-0.033328272	0.967499476
VPS8	-0.013441859	0.967893657
LOC102390311	0.023006916	0.967763707
RAB11A	-0.01399794	0.96782275
LOC102396919	0.017866774	0.968024379
LOC123330952	0.057712722	0.967985914
IDE	-0.011396223	0.967955926
LOC102403750	0.012887544	0.968021503
CAB39	-0.012686551	0.968182212
LOC123332627	0.037821615	0.968197638
ZUP1	0.016718553	0.968167375
C2H6orf62	0.011193111	0.968388625
CCT8L2	0.042412214	0.968344611
FAM185A	0.018795523	0.968649559
LOC102414982	-0.031756349	0.968756931
LOC112583760	0.056359529	0.968913857
LOC112584812	0.038366869	0.96890202
LOC102397308	-0.039278142	0.969140527
NPRL2	-0.014076993	0.969123132
LOC123334484	-0.107635423	0.969407127
NAP1L3	-0.072871595	0.969566749
PADI6	-0.054780075	0.969728805
LOC123334172	-0.021795342	0.969763871
DSCC1	0.018500719	0.969819412
TRIM56	-0.011534642	0.969899767
PADI4	-0.047718448	0.970088507
LOC123466194	-0.01535995	0.97049666
EPC1	0.01217063	0.970496812
WDR6	-0.013265353	0.970650114
OS9	0.011770287	0.970763169
LOC102392756	-0.062758739	0.970737863
RRP7A	-0.016975037	0.970992048
TYK2	-0.014111451	0.971026664
LOC112578943	0.052333345	0.971021076
LOC102399857	-0.043688313	0.971242972
LOC123329428	-0.071300786	0.971436203
CLEC4F	-0.067139335	0.971682611
LOC102392628	0.023710287	0.971737216
LOC102411613	-0.021764275	0.971688128
COQ10A	0.021353852	0.972247854
MCOLN1	-0.015934238	0.972287444
COPE	0.013720254	0.972327782
CHST7	-0.038761616	0.972310479
SCYL1	0.012235436	0.972557368
SRGAP3	0.035223965	0.972508442
RIOK1	-0.013461857	0.972651238
LOC112584120	-0.064777832	0.972801465
LOC123333478	0.035811714	0.972719689
MMAA	-0.015168185	0.972740348
EEFSEC	-0.015955818	0.972815592
LOC123333971	-0.064964787	0.973022936
LOC102400824	-0.074080828	0.973117186
LOC123465037	-0.071122184	0.973163819
WDR62	0.016830158	0.973008628
EGFLAM	0.023751399	0.97310699
KRI1	-0.014925801	0.973256554
PTPRN	0.03104791	0.973504448
EPOP	-0.026147352	0.973711179
MRPL36	-0.015352146	0.973734842
H0I40_mgt12	0.017788123	0.973728094
THAP8	0.026941157	0.973859885
SHARPIN	-0.012975185	0.97452496
BSN	-0.067741892	0.974493612
DUS4L	-0.016823262	0.97471106
LRRC28	-0.012343545	0.974964489
LOC123333603	-0.038513192	0.975207152
KCNT2	0.043116961	0.97517798
SEPTIN2	0.007503637	0.975161694
CC2D1A	-0.013223488	0.975427459
LOC112584101	0.040667504	0.975579584
ADAMTS15	-0.019638425	0.975536284
LOC102392761	0.016314211	0.975752256
DEDD2	-0.010878472	0.975749884
LOC123465112	0.033980957	0.975808926
H0I40_mgt22	-0.013284602	0.975969618
BAG4	-0.008518909	0.976060536
U2AF1	0.009605362	0.976221102
SIRT3	0.021093764	0.976613348
RNF40	-0.012645694	0.976598336
LOC112584880	0.040769293	0.97672208
STK33	-0.037571454	0.977001188
LOC112586488	0.023463021	0.9774408
RPL22L1	-0.008301234	0.977663115
RBMS1	0.007112293	0.977886691
LOC123327566	-0.025627108	0.977795092
LOC112580055	-0.033432428	0.977880198
DCUN1D1	-0.008345452	0.977978984
ATP6V1E2	-0.048757031	0.978012877
LOC112585233	-0.03817001	0.978104706
LOC102406308	0.011036679	0.978175149
GPR27	0.012795508	0.978222661
LOC102415042	0.031906987	0.978618883
SS18L2	-0.018763828	0.978621963
ADPRHL1	0.040296485	0.979274294
FAHD1	-0.009741202	0.979433771
LOC102389586	-0.020794394	0.97958799
LOC123329915	-0.034476482	0.979676737
LOC102391952	-0.023344379	0.979755516
RIT1	-0.006388558	0.979862405
PIGN	-0.006948299	0.979878137
LOC123331235	0.039909442	0.979998694
LOC102403941	-0.024141606	0.980160334
LANCL1	0.007347356	0.980990981
LOC123333287	-0.051801186	0.980835739
COLGALT2	0.019503971	0.980887824
LOC102399607	0.034790959	0.980506607
TRIM7	0.021926045	0.980430151
LOC123329122	-0.037265208	0.980668556
PCDH10	-0.024095747	0.980642509
TARS3	-0.047027881	0.980670143
ELAC1	-0.010871472	0.980891758
